body_type,drinks,drugs,height,income,orientation,sex,smokes,status,record,new_sign,new_religion,age
7,3,1,75,-1.0,1,1,3,1,0,5,1,22.0
6,4,2,70,80000.0,1,1,1,1,1,6,1,35.0
6,3,1,65,-1.0,1,2,1,1,7,11,3,31.0
4,1,1,65,-1.0,1,1,1,1,9,6,2,37.0
6,3,1,72,40000.0,1,1,1,4,11,7,3,28.0
2,3,1,62,50000.0,1,2,1,1,14,4,4,29.0
6,2,1,71,-1.0,1,1,1,1,18,9,3,31.0
4,3,1,72,-1.0,1,1,1,1,19,2,4,33.0
6,3,1,67,-1.0,1,2,1,1,20,9,4,27.0
3,3,1,69,-1.0,1,1,1,1,22,11,1,30.0
2,1,1,71,-1.0,1,1,1,1,23,1,2,30.0
2,3,2,73,-1.0,1,1,3,1,24,10,9,33.0
3,3,1,72,-1.0,1,1,4,1,26,7,4,22.0
6,3,1,67,-1.0,1,1,1,1,27,7,1,22.0
3,3,2,68,-1.0,1,1,1,1,29,7,1,32.0
6,3,1,67,-1.0,1,2,1,1,32,9,3,38.0
2,3,1,69,-1.0,1,1,5,1,34,11,2,27.0
4,3,1,69,-1.0,1,1,5,1,36,6,5,32.0
6,4,2,75,-1.0,1,1,1,1,42,5,9,30.0
9,3,2,66,-1.0,3,2,1,1,44,1,9,29.0
6,4,2,70,-1.0,1,1,1,1,47,9,1,28.0
4,3,1,66,-1.0,1,2,1,1,49,4,9,26.0
3,3,2,70,-1.0,1,1,3,1,58,2,1,22.0
3,3,1,67,-1.0,1,1,1,4,60,5,4,31.0
2,3,2,70,-1.0,1,1,5,1,62,6,1,31.0
4,2,1,65,20000.0,1,1,1,1,66,8,5,22.0
2,2,2,66,-1.0,1,2,3,1,67,3,9,30.0
2,3,2,76,-1.0,4,1,1,1,69,10,1,29.0
4,3,2,73,150000.0,1,1,1,1,72,2,1,35.0
9,3,1,61,50000.0,1,2,1,1,73,9,7,31.0
3,4,2,72,-1.0,1,1,1,1,76,12,1,26.0
9,3,1,65,-1.0,3,2,1,4,77,7,1,25.0
2,4,1,67,-1.0,1,2,1,1,80,6,2,28.0
3,3,2,67,40000.0,1,1,1,1,94,9,1,29.0
9,3,2,66,-1.0,1,2,1,1,98,2,2,31.0
6,3,1,72,-1.0,1,1,1,1,99,4,3,46.0
4,3,3,69,1000000.0,1,1,1,1,102,9,1,41.0
4,3,2,70,100000.0,1,1,1,1,103,7,2,39.0
3,3,1,65,-1.0,1,2,1,1,105,3,6,42.0
3,3,1,64,-1.0,1,2,1,1,106,3,1,45.0
9,2,1,66,20000.0,1,2,5,1,113,12,9,23.0
3,4,2,70,-1.0,1,1,1,4,114,3,1,36.0
2,3,1,72,-1.0,1,1,5,1,115,1,2,35.0
4,1,1,67,-1.0,1,1,1,1,117,7,9,55.0
6,1,1,65,-1.0,1,2,1,1,118,12,9,21.0
6,3,1,71,-1.0,1,1,1,1,120,1,2,24.0
3,3,1,75,-1.0,1,1,1,1,121,5,3,50.0
2,3,3,70,1000000.0,1,1,3,1,123,11,2,21.0
9,3,1,62,-1.0,3,2,1,1,124,3,9,27.0
6,4,1,71,-1.0,1,1,4,1,128,9,2,26.0
9,3,1,68,-1.0,1,2,4,4,131,7,9,32.0
6,4,1,73,80000.0,1,1,1,1,137,9,9,50.0
